ERN (window difference wave),Error-potentiated startle
-9.4,8.22
-5.68,2.04
3.04,-2.15
-1.74,0.88
-9.78,-2.27
-1.09,0.63
1.22,1.53
13.49,-1.89
-8.32,1.55
-1.94,3.53
-0.94,-0.38
-11.31,11.62
-0.48,-2.94
-12.56,-1.68
-6.11,3.2
-10.69,1.84
-2.63,0.41
-21.08,34.43
-6.84,-0.79
1.95,1.53
2.21,-0.13
0.66,6.68
-2.53,-0.88
-5.35,-0.38
-0.26,1
6.31,1.13
-6.03,23.34
-8.05,-2.19
-7.41,2.36
0.64,15.79
1.08,22.17
-21.91,26.39
-1.84,9.54
-8.71,5.00
-8.35,-2.15
-2.91,5.77
-3.07,12.57
-1.94,-4.32
-4.29,2.36
-7.84,-1.89
-2.17,1.31
-8.54,0.95
-7.33,-0.02
-1.24,6.09
-8.01,10.34
-17.26,-0.91
-5.67,1.17
-12.54,12.21
-2.95,0.90
-5.85,11.67
-3.95,2.38
4.12,2.75
-5.18,24.00
-2.15,11.44
-8.59,3.75
-11.94,3.48
-11.80,6.87
-3.79,-1.27
-1.81,-0.59
-8.53,3.00
-8.06,-2.41
-6.80,-12.88
-6.92,-0.52
-2.58,-11.95
-7.00,-1.63
0.65,8.48
-6.90,4.11
-7.70,9.86
-8.75,-0.84
-8.69,-6.58
-1.89,-12.44
-12.71,6.24
-6.94,4.42
